температура печи
5.0166668891907e+00 1.7524885177612e+01 0.0000000000000e+00
5.0333333015442e+00 1.7549884796143e+01 0.0000000000000e+00
5.0500001907349e+00 1.7574884414673e+01 0.0000000000000e+00
5.0666666030884e+00 1.7599884033203e+01 0.0000000000000e+00
5.0833334922791e+00 1.7624883651733e+01 0.0000000000000e+00
5.0999999046326e+00 1.7649883270264e+01 0.0000000000000e+00
5.1166667938232e+00 1.7674882888794e+01 0.0000000000000e+00
5.1333332061768e+00 1.7699882507324e+01 0.0000000000000e+00
5.1500000953674e+00 1.7724882125854e+01 0.0000000000000e+00
5.1666665077209e+00 1.7749881744385e+01 0.0000000000000e+00
5.1833333969116e+00 1.7774881362915e+01 0.0000000000000e+00
5.1999998092651e+00 1.7799880981445e+01 0.0000000000000e+00
5.2166666984558e+00 1.7824880599976e+01 0.0000000000000e+00
5.2333331108093e+00 1.7849880218506e+01 0.0000000000000e+00
5.2500000000000e+00 1.7874879837036e+01 0.0000000000000e+00
5.2666668891907e+00 1.7899879455566e+01 0.0000000000000e+00
5.2833333015442e+00 1.7924879074097e+01 0.0000000000000e+00
5.3000001907349e+00 1.7949878692627e+01 0.0000000000000e+00
5.3166666030884e+00 1.7974878311157e+01 0.0000000000000e+00
5.3333334922791e+00 1.7999877929688e+01 0.0000000000000e+00
5.3499999046326e+00 1.8024877548218e+01 0.0000000000000e+00
5.3666667938232e+00 1.8049877166748e+01 0.0000000000000e+00
5.3833332061768e+00 1.8074876785278e+01 0.0000000000000e+00
5.4000000953674e+00 1.8099876403809e+01 0.0000000000000e+00
5.4166665077209e+00 1.8124876022339e+01 0.0000000000000e+00
5.4333333969116e+00 1.8149875640869e+01 0.0000000000000e+00
5.4499998092651e+00 1.8174875259399e+01 0.0000000000000e+00
5.4666666984558e+00 1.8199874877930e+01 0.0000000000000e+00
5.4833331108093e+00 1.8224874496460e+01 0.0000000000000e+00
5.5000000000000e+00 1.8249874114990e+01 0.0000000000000e+00
5.5166668891907e+00 1.8274873733521e+01 0.0000000000000e+00
5.5333333015442e+00 1.8299873352051e+01 0.0000000000000e+00
5.5500001907349e+00 1.8324872970581e+01 0.0000000000000e+00
5.5666666030884e+00 1.8349872589111e+01 0.0000000000000e+00
5.5833334922791e+00 1.8374872207642e+01 0.0000000000000e+00
5.5999999046326e+00 1.8399871826172e+01 0.0000000000000e+00
5.6166667938232e+00 1.8424871444702e+01 0.0000000000000e+00
5.6333332061768e+00 1.8449871063232e+01 0.0000000000000e+00
5.6500000953674e+00 1.8474870681763e+01 0.0000000000000e+00
5.6666665077209e+00 1.8499870300293e+01 0.0000000000000e+00
5.6833333969116e+00 1.8524869918823e+01 0.0000000000000e+00
5.6999998092651e+00 1.8549869537354e+01 0.0000000000000e+00
5.7166666984558e+00 1.8574869155884e+01 0.0000000000000e+00
5.7333331108093e+00 1.8599868774414e+01 0.0000000000000e+00
5.7500000000000e+00 1.8624868392944e+01 0.0000000000000e+00
5.7666668891907e+00 1.8649868011475e+01 0.0000000000000e+00
5.7833333015442e+00 1.8674867630005e+01 0.0000000000000e+00
5.8000001907349e+00 1.8699867248535e+01 0.0000000000000e+00
5.8166666030884e+00 1.8724866867065e+01 0.0000000000000e+00
5.8333334922791e+00 1.8749866485596e+01 0.0000000000000e+00
5.8499999046326e+00 1.8774866104126e+01 0.0000000000000e+00
5.8666667938232e+00 1.8799865722656e+01 0.0000000000000e+00
5.8833332061768e+00 1.8824865341187e+01 0.0000000000000e+00
5.9000000953674e+00 1.8849864959717e+01 0.0000000000000e+00
5.9166665077209e+00 1.8874864578247e+01 0.0000000000000e+00
5.9333333969116e+00 1.8899864196777e+01 0.0000000000000e+00
5.9499998092651e+00 1.8924863815308e+01 0.0000000000000e+00
5.9666666984558e+00 1.8949863433838e+01 0.0000000000000e+00
5.9833331108093e+00 1.8974863052368e+01 0.0000000000000e+00
6.0000000000000e+00 1.8999862670898e+01 0.0000000000000e+00
6.0166668891907e+00 1.9024862289429e+01 0.0000000000000e+00
6.0333333015442e+00 1.9049861907959e+01 0.0000000000000e+00
6.0500001907349e+00 1.9074861526489e+01 0.0000000000000e+00
6.0666666030884e+00 1.9099861145020e+01 0.0000000000000e+00
6.0833334922791e+00 1.9124860763550e+01 0.0000000000000e+00
6.0999999046326e+00 1.9149860382080e+01 0.0000000000000e+00
6.1166667938232e+00 1.9174860000610e+01 0.0000000000000e+00
6.1333332061768e+00 1.9199859619141e+01 0.0000000000000e+00
6.1500000953674e+00 1.9224859237671e+01 0.0000000000000e+00
6.1666665077209e+00 1.9249858856201e+01 0.0000000000000e+00
6.1833333969116e+00 1.9274858474731e+01 0.0000000000000e+00
6.1999998092651e+00 1.9299858093262e+01 0.0000000000000e+00
6.2166666984558e+00 1.9324857711792e+01 0.0000000000000e+00
6.2333331108093e+00 1.9349857330322e+01 0.0000000000000e+00
6.2500000000000e+00 1.9374856948853e+01 0.0000000000000e+00
6.2666668891907e+00 1.9399856567383e+01 0.0000000000000e+00
6.2833333015442e+00 1.9424856185913e+01 0.0000000000000e+00
6.3000001907349e+00 1.9449855804443e+01 0.0000000000000e+00
6.3166666030884e+00 1.9474855422974e+01 0.0000000000000e+00
6.3333334922791e+00 1.9499855041504e+01 0.0000000000000e+00
6.3499999046326e+00 1.9524854660034e+01 0.0000000000000e+00
6.3666667938232e+00 1.9549854278564e+01 0.0000000000000e+00
6.3833332061768e+00 1.9574853897095e+01 0.0000000000000e+00
6.4000000953674e+00 1.9599853515625e+01 0.0000000000000e+00
6.4166665077209e+00 1.9624853134155e+01 0.0000000000000e+00
6.4333333969116e+00 1.9649852752686e+01 0.0000000000000e+00
6.4499998092651e+00 1.9674852371216e+01 0.0000000000000e+00
6.4666666984558e+00 1.9699851989746e+01 0.0000000000000e+00
6.4833331108093e+00 1.9724851608276e+01 0.0000000000000e+00
6.5000000000000e+00 1.9749851226807e+01 0.0000000000000e+00
6.5166668891907e+00 1.9774850845337e+01 0.0000000000000e+00
6.5333333015442e+00 1.9799850463867e+01 0.0000000000000e+00
6.5500001907349e+00 1.9824850082397e+01 0.0000000000000e+00
6.5666666030884e+00 1.9849849700928e+01 0.0000000000000e+00
6.5833334922791e+00 1.9874849319458e+01 0.0000000000000e+00
6.5999999046326e+00 1.9899848937988e+01 0.0000000000000e+00
6.6166667938232e+00 1.9924848556519e+01 0.0000000000000e+00
6.6333332061768e+00 1.9949848175049e+01 0.0000000000000e+00
6.6500000953674e+00 1.9974847793579e+01 0.0000000000000e+00
6.6666665077209e+00 1.9999847412109e+01 0.0000000000000e+00
6.6833333969116e+00 2.0024847030640e+01 0.0000000000000e+00
6.6999998092651e+00 2.0049846649170e+01 0.0000000000000e+00
6.7166666984558e+00 2.0074846267700e+01 0.0000000000000e+00
6.7333331108093e+00 2.0099845886230e+01 0.0000000000000e+00
6.7500000000000e+00 2.0124845504761e+01 0.0000000000000e+00
6.7666668891907e+00 2.0149845123291e+01 0.0000000000000e+00
6.7833333015442e+00 2.0174844741821e+01 0.0000000000000e+00
6.8000001907349e+00 2.0199844360352e+01 0.0000000000000e+00
6.8166666030884e+00 2.0224843978882e+01 0.0000000000000e+00
6.8333334922791e+00 2.0249843597412e+01 0.0000000000000e+00
6.8499999046326e+00 2.0274843215942e+01 0.0000000000000e+00
6.8666667938232e+00 2.0299842834473e+01 0.0000000000000e+00
6.8833332061768e+00 2.0324842453003e+01 0.0000000000000e+00
6.9000000953674e+00 2.0349842071533e+01 0.0000000000000e+00
6.9166665077209e+00 2.0374841690063e+01 0.0000000000000e+00
6.9333333969116e+00 2.0399841308594e+01 0.0000000000000e+00
6.9499998092651e+00 2.0424840927124e+01 0.0000000000000e+00
6.9666666984558e+00 2.0449840545654e+01 0.0000000000000e+00
6.9833331108093e+00 2.0474840164185e+01 0.0000000000000e+00
7.0000000000000e+00 2.0499839782715e+01 0.0000000000000e+00
7.0166668891907e+00 2.0524839401245e+01 0.0000000000000e+00
7.0333333015442e+00 2.0549839019775e+01 0.0000000000000e+00
7.0500001907349e+00 2.0574838638306e+01 0.0000000000000e+00
